date,icu_patients
18-Mar-2020,6
19-Mar-2020,11
20-Mar-2020,16
21-Mar-2020,20
22-Mar-2020,23
23-Mar-2020,30
24-Mar-2020,42
25-Mar-2020,52
26-Mar-2020,57
27-Mar-2020,72
28-Mar-2020,81
29-Mar-2020,95
30-Mar-2020,108
31-Mar-2020,135
01-Apr-2020,147
02-Apr-2020,162
03-Apr-2020,176
04-Apr-2020,192
05-Apr-2020,197
06-Apr-2020,199
07-Apr-2020,199
08-Apr-2020,210
09-Apr-2020,212
10-Apr-2020,207
11-Apr-2020,212
12-Apr-2020,221
13-Apr-2020,211
14-Apr-2020,196
15-Apr-2020,195
16-Apr-2020,196
17-Apr-2020,189
18-Apr-2020,182
19-Apr-2020,174
20-Apr-2020,169
21-Apr-2020,166
22-Apr-2020,155
23-Apr-2020,148
24-Apr-2020,141
25-Apr-2020,140
26-Apr-2020,133
27-Apr-2020,134
28-Apr-2020,126
