Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,Grand Total
08-Apr-2020,91,56,44,127,107,62,555,61,249,275,,,134,,1771
09-Apr-2020,94,67,40,136,106,73,563,56,256,269,,,109,,1781
10-Apr-2020,110,64,49,131,86,74,571,54,287,277,,,112,,1832
11-Apr-2020,126,62,61,129,87,77,590,55,257,262,,,123,,1855
12-Apr-2020,90,50,43,122,91,91,597,53,247,245,,,113,,1755
13-Apr-2020,102,54,51,121,92,89,583,62,263,258,,,115,,1797
14-Apr-2020,112,57,40,117,93,86,594,58,261,263,,,109,,1798
15-Apr-2020,116,55,36,105,96,78,598,61,225,259,,,110,,1748
16-Apr-2020,110,66,31,126,97,86,606,60,203,284,,,118,,1799
17-Apr-2020,119,56,29,124,80,85,580,62,261,278,,,109,,1799
18-Apr-2020,118,52,29,119,77,84,593,59,252,286,,,108,,1793
19-Apr-2020,122,57,35,127,78,80,593,65,249,279,,,98,,1797
20-Apr-2020,129,55,37,120,89,84,603,58,238,268,,,110,,1809
21-Apr-2020,121,54,37,138,91,91,583,68,240,322,,6,98,,1866
22-Apr-2020,103,52,29,135,84,91,574,68,247,288,,,90,,1776
23-Apr-2020,104,40,36,141,85,102,564,56,237,277,,,97,,1748
24-Apr-2020,113,40,28,136,83,100,561,55,236,275,,,78,,1710
25-Apr-2020,102,56,24,133,96,98,557,52,244,287,,,92,,1748
